lineNumber,operator,travelCode,boardingTime,stationSrc,stationDst
159,DAN,6,18:30,MEZADOT-YEHUDA,RUMAT-HEIB
35,SUPERBUS,9,23:55,EN-HASHOFET,TENUVOT
60,METROPOLIN,8,14:35,MAZKERET-BATYA,FASSUTA
753,DAN,1,03:30,EN-HAROD-(IHUD),ZABARGA
38,KAVIM,2,00:15,AGUR,SHEKHANYA
411,EGGED,3,15:50,EN-KARMEL,SAMAR
484,TNUFA,4,14:25,MIZPE-AVIV,SAL'IT
659,SUPERBUS,8,01:40,RAHAT,TENE
661,EGGED,4,03:50,SHIBLI,AMMI'OZ
824,SUPERBUS,5,04:30,GINNOSAR,EN-HANAZIV
474,METROPOLIN,6,16:55,KEFAR-HARIF,LAVON
916,AFIKIM,8,11:55,ATAWNE,HAZERIM
150,SUPERBUS,3,11:45,UDIM,RANNEN
708,SUPERBUS,2,21:35,KEFAR-AZZA,GE'ULE-TEMAN
527,AFIKIM,8,15:10,GIV'ON-HAHADASHA,SARID
606,TNUFA,8,20:30,NETU'A,HAZROT-HULDA
246,EGGED,7,19:55,HUQOQ,IBBIM
585,EGGED,6,08:10,GIV'AT-SHEMU'EL,GA'ASH
673,DAN,8,20:05,QESARIYYA,MATTAT
253,EGGED,2,05:45,YAKHINI,REVAVA
768,AFIKIM,4,12:35,MA'ALE-GAMLA,LOTEM
10,SUPERBUS,3,17:20,EN-DOR,BU'EINE-NUJEIDAT
7,TNUFA,8,04:45,RAQEFET,GAN-HADAROM
828,DAN,9,03:35,HALLAMISH,SHA'ARE-TIQWA
370,METROPOLIN,3,15:25,RAS-AL-EIN,ORTAL
42,KAVIM,8,14:25,MOZA-ILLIT,BAT-HEN
379,DAN,4,20:05,HAR-GILLO,TEQUMA
930,EGGED,3,10:00,BET-NEQOFA,KEFAR-ROZENWALD(ZAR.
823,DAN,2,23:05,SHEIKH-DANNUN,NEWE-SHALOM
936,TNUFA,3,07:45,RAMAT-ZEVI,BENE-NEZARIM
621,SUPERBUS,4,01:00,KARME-QATIF,NAHSHON
714,METROPOLIN,2,10:20,HAZOR-HAGELILIT,HOSEN
665,AFIKIM,3,09:25,RAS-ALI,KEFAR-HAORANIM
150,AFIKIM,6,23:00,ELQOSH,DEIR-HANNA
236,TNUFA,3,12:55,SHEDEMA,EIN-MAHEL
156,KAVIM,6,21:45,BENE-ATAROT,NE'URIM
551,AFIKIM,3,08:10,BUSTAN-HAGALIL,AMQA
808,AFIKIM,5,23:25,KHAWALED,SHANI
45,DAN,3,05:45,YAFIT,GIV'AT-HASHELOSHA
747,SUPERBUS,1,01:05,AMQA,SEDOT-YAM
490,DAN,9,09:25,KEFAR-ROSH-HANIQRA,SEDEROT
23,KAVIM,6,22:35,KAFAR-KAMA,MARGALIYYOT
972,AFIKIM,4,16:30,KEFAR-NETTER,PAROD
223,EGGED,7,05:45,IDDAN,QAZIR
957,SUPERBUS,6,20:55,AMIRIM,ILUT
478,TNUFA,8,04:35,HAMAM,KEFAR-GLIKSON
99,METROPOLIN,1,17:45,HAFEZ-HAYYIM,HORESHIM
705,KAVIM,1,23:25,MIGDAL-HAEMEQ,KARMEL
15,TNUFA,9,17:55,MESHAR,SHLOMIT
554,TNUFA,1,07:10,NEWE-ZIV,NAZARETH
946,AFIKIM,7,03:25,PARDES-HANNA-KARKUR,YANUV
13,METROPOLIN,9,21:50,BAT-HEN,MISHMAR-HANEGEV
159,DAN,6,09:30,ELYASHIV,NOFEKH
4,EGGED,1,00:50,BEN-SHEMEN-(MOSHAV),LAKHISH
222,EGGED,2,00:35,RAME,RAMOT-HASHAVIM
471,SUPERBUS,7,06:05,HODIYYA,HAYOGEV
738,TNUFA,2,00:10,REHELIM,TIRE
76,METROPOLIN,8,00:45,GINNOSAR,MENAHEMYA
897,DAN,2,16:50,NETIV-HAGEDUD,NIRAN
670,AFIKIM,6,00:50,GEVA-KARMEL,WERED-YERIHO
612,DAN,8,05:15,EN-HAROD-(IHUD),GESHUR
191,DAN,2,11:10,RAMAT-MAGSHIMIM,MAHANE-YEHUDIT
399,DAN,8,02:40,HUZAYYEL,SEDEROT
469,TNUFA,2,14:40,SHA'AR-HAGOLAN,MERHAV-AM
24,TNUFA,8,17:25,KEFAR-BIN-NUN,MA'ALE-GILBOA
964,TNUFA,2,15:20,NEWE-YAMIN,UMM-AL-QUTUF
934,AFIKIM,8,02:55,YODEFAT,NEZER-SERENI
247,EGGED,4,12:35,NIZZANIM,ATRASH
308,DAN,5,20:00,EZUZ,PARAN
45,METROPOLIN,8,04:30,MA'ALOT-TARSHIHA,QESHET
890,TNUFA,7,17:20,SHA'AR-MENASHE,SHOQEDA
160,METROPOLIN,9,19:35,KA'ABIYYE-TABBASH-HA,EN-HAHORESH
419,EGGED,9,10:25,KEFAR-SHEMARYAHU,AFULA
250,SUPERBUS,1,07:20,ZIQIM,YUVALIM
180,KAVIM,2,02:05,AVITAL,TARABIN-AS-SANI
832,DAN,7,17:40,DOR,MA'ALE-GAMLA
69,AFIKIM,2,10:35,ENAT,NIZZANE-OZ
239,EGGED,3,03:30,KAFAR-MISR,MISHMAROT
121,AFIKIM,6,07:00,BEREKHYA,SUFA
327,AFIKIM,3,02:30,NASASRA,SAMAR
734,SUPERBUS,1,04:05,ABU-QUREINAT,MA'ALE-GILBOA
816,SUPERBUS,4,07:10,ZAFRIYYA,HAD-NES
431,TNUFA,1,08:40,RAMOT,NAHAL-HEMDAT
63,KAVIM,1,17:30,TEFAHOT,ALLONIM
16,TNUFA,2,10:15,RAS-AL-EIN,USHA
900,METROPOLIN,7,18:00,GIV'OLIM,EVEN-SAPPIR
776,EGGED,3,17:10,KEFAR-AVIV,MASSUOT-YIZHAQ
46,KAVIM,5,02:40,NEHALIM,UZA
371,DAN,2,02:50,QIDRON,SHEIKH-DANNUN
950,TNUFA,8,20:35,JAAT,RUMMANE
435,EGGED,1,18:20,GE'ULE-TEMAN,SEDE-ELI'EZER
135,AFIKIM,2,18:45,GEVAT,BARQAN
743,TNUFA,4,08:20,YUVAL,BARAQ
889,DAN,5,12:45,GIV'AT-NILI,BENAYA
805,AFIKIM,5,07:25,ZAFRIYYA,SHA'AR-MENASHE
154,KAVIM,1,23:45,KEFAR-ROZENWALD(ZAR.,KHAWALED
974,SUPERBUS,8,01:50,JISH(GUSH-HALAV),RAMAT-DAWID
900,METROPOLIN,6,07:50,SEDOT-MIKHA,KEREM-BEN-ZIMRA
896,SUPERBUS,5,06:10,KEFAR-SILVER,MIQWE-YISRA'EL
966,EGGED,8,08:45,MASH'ABBE-SADE,SAWA'ID-(KAMANE)
674,TNUFA,9,09:30,MANOT,HURFEISH
994,DAN,2,20:00,ABU-TULUL,NIRIM
901,TNUFA,8,11:05,NOFIM,NETA
712,AFIKIM,5,13:35,RAMAT-YISHAY,GAN-SHEMU'EL
793,SUPERBUS,9,21:15,ALLONE-YIZHAQ,SHAHAR
835,DAN,1,23:00,BET-HAEMEQ,ORANIM
205,AFIKIM,3,10:45,BEN-SHEMEN-(MOSHAV),HEREV-LE'ET
813,DAN,1,15:55,OLESH,KEFAR-HOSHEN
25,AFIKIM,5,02:25,REINE,EYAL
141,TNUFA,6,10:05,OR-AQIVA,HADERA
40,TNUFA,3,06:25,PERAZON,MEHOLA
689,METROPOLIN,6,04:50,HARASHIM,KAFAR-KANNA
488,AFIKIM,9,01:55,RAMAT-HAKOVESH,HERZELIYYA
192,AFIKIM,1,17:15,KEFAR-MAYMON,AHAWA
844,AFIKIM,4,04:40,WERED-YERIHO,KEFAR-HARUV
483,KAVIM,3,13:50,NIR-AQIVA,GAN-SOREQ
453,METROPOLIN,9,07:40,IDDAN,MIGDAL-HAEMEQ
526,METROPOLIN,4,23:45,EVEN-MENAHEM,HOFIT
609,SUPERBUS,5,15:45,KAHAL,YAFI
169,AFIKIM,9,13:15,DEVIRA,NIZZAN-B
299,AFIKIM,6,06:00,GHAJAR,BET-RABBAN
44,AFIKIM,4,03:35,ESHHAR,KEFAR-ZOHARIM
17,AFIKIM,2,07:50,BEN-AMMI,SEDE-NEHEMYA
376,KAVIM,3,14:15,ABU-AMRE,KEFAR-HANAGID
643,KAVIM,6,15:05,GESHER,NEIN
214,DAN,3,03:35,AMMI'OZ,MEGIDDO
341,DAN,3,12:05,TAYIBE,KEFAR-MORDEKHAY
836,SUPERBUS,5,23:30,SHAHARUT,BIZZARON
618,SUPERBUS,5,17:40,BIZZARON,BE'ERI
270,SUPERBUS,3,09:25,NE'URIM,BET-ZERA
363,METROPOLIN,9,14:40,ETAN,KEFAR-HESS
251,EGGED,5,14:45,ALUMIM,BERAKHA
342,DAN,2,04:35,GEZER,AMNUN
430,TNUFA,4,17:45,NIR-OZ,AMMI'OZ
817,KAVIM,8,09:10,ETANIM,MIDRESHET-BEN-GURION
619,DAN,4,13:05,SHANI,NIR-OZ
246,SUPERBUS,6,15:55,HAMRA,RAMAT-RAZI'EL
823,KAVIM,5,15:45,KEFAR-SHEMU'EL,NAHARIYYA
79,DAN,8,17:10,RAMOT-NAFTALI,EZ-EFRAYIM
665,SUPERBUS,6,22:45,REGAVIM,SHETULA
844,TNUFA,7,09:25,KEFAR-GIL'ADI,ELI
337,METROPOLIN,1,22:05,RAVID,NEWE-ATIV
587,EGGED,2,05:25,GIV'AT-YESHA'YAHU,SANDALA
963,EGGED,2,05:40,SE'ORIM,EVEN-YIZHAQ(GAL'ED)
94,SUPERBUS,8,13:30,GIV'AT-YO'AV,ARAMSHA
925,AFIKIM,6,03:55,AHUZZAT-BARAQ,SHALWA
512,KAVIM,4,15:40,OR-AQIVA,GIV'AT-BRENNER
670,AFIKIM,3,01:55,KEFAR-HOSHEN,KAFAR-QARA
81,EGGED,2,09:40,RAMAT-ZEVI,SHORESH
503,SUPERBUS,9,23:05,ARBEL,QIRYAT-YE'ARIM
818,KAVIM,1,04:15,RETAMIM,EZ-EFRAYIM
525,AFIKIM,5,07:05,BET-HAGADDI,MA'AGAN
34,AFIKIM,9,17:10,EIN-RAFA,ASERET
99,KAVIM,4,07:50,IBBIM,BET-EL
857,METROPOLIN,9,06:35,RANNEN,DISHON
364,KAVIM,5,02:00,ME-AMMI,ELYAQIM
935,METROPOLIN,1,14:55,NEWE-DANIYYEL,METAR
215,SUPERBUS,3,19:20,AZRIQAM,OR-YEHUDA
307,KAVIM,6,15:30,BAT-SHELOMO,TAMRA-(YIZRE'EL)
342,EGGED,4,21:50,NIR-YIZHAQ,MA'AS
960,SUPERBUS,2,03:40,MASH'EN,PALMAHIM
909,AFIKIM,6,11:20,BET-YOSEF,GEDERA
384,EGGED,1,02:25,AFEQ,TARUM
730,AFIKIM,6,11:25,KEFAR-HAHORESH,SHORESH
7,METROPOLIN,9,18:10,SEDE-YIZHAQ,ALMA
494,DAN,4,00:20,TIMMORIM,BET-EL
305,DAN,5,11:05,OR-HAGANUZ,HAGOSHERIM
764,EGGED,4,02:05,MISHMAR-HASHIV'A,TAYIBE(BAEMEQ)
83,KAVIM,6,22:00,ELQANA,ASHALIM
932,TNUFA,2,05:45,GILAT,LUZIT
630,SUPERBUS,1,13:05,EVEN-SAPPIR,TENE
80,SUPERBUS,1,22:45,YEDIDYA,MISGAV-DOV
761,SUPERBUS,1,00:15,TENUVOT,ILANIYYA
513,EGGED,2,03:55,MISHMERET,HAVAZZELET-HASHARON
558,SUPERBUS,5,06:00,TAYIBE(BAEMEQ),AMMIHAY
653,DAN,4,15:15,KARMI'EL,YATED
966,KAVIM,3,07:20,GANNE-AM,HANNI'EL
399,SUPERBUS,7,10:05,BET-EZRA,NES-AMMIM
864,AFIKIM,9,10:20,TELALIM,ALFE-MENASHE
210,METROPOLIN,2,17:10,KEFAR-ADUMMIM,HULDA
644,SUPERBUS,4,13:00,NA'AN,SEDE-ZEVI
948,EGGED,8,17:40,MEKHORA,QALYA
240,KAVIM,1,07:50,MEFALLESIM,KARME-ZUR
636,TNUFA,2,09:10,PORIYYA-NEWE-OVED,HABONIM
925,KAVIM,7,16:55,MASLUL,KAFAR-KAMA
885,SUPERBUS,4,13:25,SHALWA,MA'BAROT
205,SUPERBUS,3,14:55,QALANSAWE,GEVULOT
239,AFIKIM,9,14:20,QEDMA,NIR-YISRA'EL
780,TNUFA,5,01:20,METAV,MUQEIBLE
349,TNUFA,7,02:50,MAHANE-YAFA,BE'ERI
180,AFIKIM,4,06:30,ELQOSH,ZOHAR
317,KAVIM,8,16:00,SAWA'ID(HAMRIYYE),ELIFAZ
54,EGGED,3,20:05,LUZIT,SHELOMI
490,METROPOLIN,1,00:10,GE'ULIM,SHAQED
644,EGGED,6,01:55,HEVER,IBTIN
828,AFIKIM,5,19:00,DEIR-HANNA,AHIHUD
671,KAVIM,4,02:10,NOGAH,BNE-DKALIM
810,TNUFA,5,12:20,OR-YEHUDA,SEDE-DAWID
852,EGGED,2,06:40,HOFIT,NE'OT-HAKIKKAR
267,EGGED,4,02:15,IDDAN,MATTAN
992,TNUFA,2,04:40,GE'A,YAHEL
785,DAN,2,08:45,YA'ARA,MODI'IN-ILLIT
448,AFIKIM,7,06:00,MARGALIYYOT,ABU-SUREIHAN
471,SUPERBUS,4,07:35,BAT-HAZOR,SHA'AR-EFRAYIM
968,EGGED,7,19:55,SAKHNIN,MAGEN
173,SUPERBUS,3,10:05,BET-QESHET,MESHAR
648,DAN,1,22:10,TEL-QAZIR,LOD
454,KAVIM,1,16:20,GORNOT-HAGALIL,EIN-MAHEL
416,KAVIM,5,11:00,MENUHA,LOTEM
746,KAVIM,3,07:45,NETIV-HAGEDUD,KEFAR-HAMAKKABI
797,AFIKIM,6,22:45,NIR-AQIVA,RAMAT-YOHANAN
430,AFIKIM,3,22:55,AVENAT,HAGOSHERIM
842,TNUFA,6,06:20,OMER,ASHALIM
227,KAVIM,4,14:45,GE'A,NAHALA
967,AFIKIM,9,04:15,GIV'AT-KOAH,MA'YAN-ZEVI
817,SUPERBUS,8,11:05,BASMA,SEDE-UZZIYYAHU
793,KAVIM,3,12:15,GEVIM,GIV'OLIM
524,AFIKIM,7,10:55,ILUT,ABU-JUWEI'ID
878,AFIKIM,3,01:00,YISH'I,GAN-HASHOMERON
223,DAN,9,02:00,MAHANE-TEL-NOF,TEL-MOND
72,AFIKIM,6,14:10,PERI-GAN,BET-OREN
132,KAVIM,4,04:10,EIN-AL-ASAD,KAFAR-QARA
133,METROPOLIN,6,15:35,ELIAV,MODI'IN-MAKKABBIM-RE
614,AFIKIM,6,10:35,MELILOT,ALUMMA
883,AFIKIM,9,09:40,PENE-HEVER,MIGDAL-OZ
941,AFIKIM,7,16:45,RESHAFIM,HOLON
866,EGGED,7,22:50,SHOHAM,YOTVATA
613,METROPOLIN,4,14:10,MANOT,TIROSH
88,AFIKIM,6,21:00,KEFAR-ZOHARIM,SHUVA
504,KAVIM,2,21:15,HELEZ,HOSHA'AYA
808,METROPOLIN,6,16:50,MAZOR,QAWA'IN
589,DAN,2,23:55,KEREM-BEN-SHEMEN,ZABARGA
52,KAVIM,2,07:10,MA'AGAN-MIKHA'EL,NIZZANE-SINAY
595,DAN,1,21:40,HAZEVA,TAMRA-(YIZRE'EL)
725,AFIKIM,2,23:15,SA'AD,GOREN
600,DAN,3,02:05,SEDE-UZZIYYAHU,GAL'ON
740,METROPOLIN,5,02:30,LAPPID,BUQ'ATA
576,SUPERBUS,5,14:05,HUQOQ,DIMONA
176,KAVIM,6,00:25,GEVAR'AM,YARDENA
898,TNUFA,3,21:15,NURIT,NE'OT-HAKIKKAR
231,KAVIM,2,05:10,EN-IRON,SEGEV-SHALOM
521,KAVIM,3,08:55,HAZORE'IM,GAL'ON
457,AFIKIM,1,12:20,GANNE-YOHANAN,KARMEL
134,DAN,8,01:40,HAGOR,TALME-YAFE
579,EGGED,7,08:40,MALKIYYA,YARQONA
927,SUPERBUS,6,18:55,HURFEISH,SHAVE-ZIYYON
872,AFIKIM,1,22:45,BET-ME'IR,QEDUMIM
829,TNUFA,1,23:40,SHOSHANNAT-HAAMAQIM(,ALMOG
545,EGGED,3,07:15,A'SAM,MEZADOT-YEHUDA
697,METROPOLIN,2,22:30,MIZPA,SHA'AR-HAAMAQIM
625,TNUFA,1,19:10,ALMOG,BEQA'OT
185,TNUFA,3,17:05,BET-QESHET,BET-LEHEM-HAGELILIT
733,METROPOLIN,2,21:15,SHEFAYIM,RAMAT-RAZI'EL
429,TNUFA,1,17:35,HERZELIYYA,TALMON
129,AFIKIM,8,23:05,RAMAT-HASHOFET,AL-SAYYID
716,SUPERBUS,4,08:55,HORESHIM,KEFAR-ADUMMIM
157,EGGED,3,05:40,ILUT,SEDE-NEHEMYA
906,KAVIM,1,20:00,MEVO-MODI'IM,HOGLA
84,AFIKIM,7,21:20,GANNOT-HADAR,YE'AF
627,AFIKIM,5,19:00,KEFAR-BILU,SHARONA
943,EGGED,1,16:40,KEFAR-SHEMU'EL,HASOLELIM
50,AFIKIM,1,11:05,AZOR,NIRIT
513,DAN,5,21:00,NEWE-ZOHAR,NAHSHOLIM
50,TNUFA,1,13:00,EVEN-SHEMU'EL,RAMAT-HASHARON
16,KAVIM,1,06:45,BET-OVED,TEFAHOT
399,SUPERBUS,6,15:15,KEFAR-RUPPIN,GIV'AT-KOAH
225,SUPERBUS,3,17:10,MI'ELYA,GE'A
451,KAVIM,5,16:10,SHA'ARE-TIQWA,SUFA
49,EGGED,8,22:30,DEGANYA-BET,LAHAVOT-HABASHAN
531,AFIKIM,6,17:10,ESHHAR,RAMOT-MENASHE
65,SUPERBUS,5,05:35,ESHBOL,LOTAN
338,TNUFA,2,10:55,MEKHORA,KEFAR-HANASI
566,KAVIM,5,12:45,GAN-SOREQ,ASHQELON
976,TNUFA,8,06:15,KEFAR-SIRKIN,EN-DOR
760,TNUFA,9,15:55,BINYAMINA,FUREIDIS
221,DAN,2,18:10,ALLON-SHEVUT,HARUZIM
853,DAN,9,15:25,KA'ABIYYE-TABBASH-HA,HOSEN
733,DAN,7,12:25,ARAD,REGBA
328,DAN,7,00:35,SHORESH,KABUL
99,DAN,5,15:40,KEMEHIN,ABU-QUREINAT
502,SUPERBUS,2,17:45,YARDENA,HERMESH
935,METROPOLIN,8,06:10,YODEFAT,QIRYAT-NETAFIM
644,DAN,3,11:15,HAZAV,GITTA
369,DAN,8,01:15,REKHASIM,BENE-AYISH
807,METROPOLIN,2,07:30,GESHUR,EN-GEDI
281,EGGED,9,11:25,BENE-DAROM,MALKIYYA
74,TNUFA,1,01:25,GE'ULE-TEMAN,TIRAT-ZEVI
913,SUPERBUS,3,03:20,ZIPPORI,QIRYAT-MOTZKIN
767,DAN,8,05:40,KEFAR-ZETIM,KISHOR
830,KAVIM,8,12:35,GIV'AT-YO'AV,BEER-GANNIM
827,AFIKIM,4,01:45,TELAMIM,BET-OVED
178,DAN,9,14:50,HAVAZZELET-HASHARON,NEWE-YAMIN
111,AFIKIM,8,19:45,YAD-BINYAMIN,KEFAR-GID'ON
192,KAVIM,2,13:20,SHIZZAFON,QETURA
392,KAVIM,4,18:40,NEWE-MIKHA'EL,NIR-BANIM
224,DAN,8,08:55,NAHSHOLIM,KEFAR-BILU
817,METROPOLIN,3,10:05,MIZRA,MAGGAL
666,EGGED,1,11:10,EN-SARID,ZEKHARYA
809,METROPOLIN,3,10:45,ENAT,ZIQIM
688,TNUFA,2,11:20,QIRYAT-MAL'AKHI,MAGEN
606,METROPOLIN,6,15:25,MIZPE-SHALEM,HOSHA'AYA
14,TNUFA,1,17:00,WARDON,GIV'AT-YO'AV
627,KAVIM,4,14:15,SEDE-ILAN,TALMON
966,DAN,2,04:30,ZERU'A,YOQNE'AM-ILLIT
155,EGGED,7,12:05,GAN-NER,ZURIT
210,EGGED,6,13:25,MIGDAL,KEFAR-HANAGID
154,KAVIM,6,06:50,ZAVDI'EL,ADDIRIM
364,DAN,9,04:05,HAMADYA,I'BILLIN
596,TNUFA,2,19:40,LI-ON,MASH'EN
314,EGGED,1,21:00,RANNEN,MA'OZ-HAYYIM
331,EGGED,9,23:40,EN-HAROD(ME'UHAD),KEREM-BEN-SHEMEN
399,KAVIM,5,17:25,AVNE-ETAN,KEFAR-MAYMON
983,SUPERBUS,9,01:55,TIRE,GOREN
843,TNUFA,6,09:50,ADDIRIM,RAM-ON
31,AFIKIM,9,15:30,SEGULA,GIV'AT-HAYYIM(ME'UHA
723,AFIKIM,7,07:45,I'BILLIN,GA'ASH
861,AFIKIM,2,16:30,QEDMA,MERHAVYA(MOSHAV)
573,DAN,1,02:55,ABU-ABDUN,BE'ERI
302,EGGED,1,02:00,AGUR,HARISH
8,DAN,8,14:15,BAT-HADAR,ZUFIN
644,EGGED,9,15:00,MA'ALE-IRON,BET-HAGADDI
577,DAN,6,04:40,DEVIRA,MIZPE-SHALEM
799,KAVIM,4,02:45,JERUSALEM,RAS-AL-EIN
947,DAN,9,09:55,YIFTAH,KEFAR-WARBURG
892,EGGED,1,23:35,MA'ALE-LEVONA,EL'AZAR
195,AFIKIM,3,08:55,SHUVA,KARME-QATIF
310,DAN,1,07:15,ALMON,HEREV-LE'ET
259,TNUFA,3,08:15,SUSEYA,TARUM
59,METROPOLIN,2,22:10,HAMAM,TE'ASHUR
974,TNUFA,9,23:15,ZERAHYA,MAHANE-YEHUDIT
432,AFIKIM,5,08:15,SEDE-UZZIYYAHU,ZOVA
824,AFIKIM,3,14:15,KOKHAV-MIKHA'EL,GIV'AT-KOAH
468,EGGED,5,10:45,TIRE,KEFAR-GIL'ADI
471,EGGED,8,23:35,RAMAT-GAN,GILAT
67,EGGED,8,20:05,QEDUMIM,TEL-YOSEF
399,SUPERBUS,6,15:45,BET-OREN,MASSUOT-YIZHAQ
865,METROPOLIN,4,19:10,SEDE-NIZZAN,NIRIM
198,AFIKIM,8,15:20,KEFAR-HANO'AR-HADATI,PERI-GAN
727,SUPERBUS,8,16:45,MISHMAR-HAYARDEN,QIRYAT-SHELOMO
817,METROPOLIN,2,11:55,HAZON,AMIRIM
417,METROPOLIN,7,05:55,SHE'AR-YASHUV,MEVO-BETAR
367,DAN,8,08:10,ETAN,BAR-GIYYORA
419,DAN,1,12:40,EN-HASHELOSHA,YEVUL
788,DAN,8,14:00,ZOVA,KEFAR-HAHORESH
158,KAVIM,5,09:25,NIR-HEN,NIR-MOSHE
832,EGGED,7,19:05,NIR-YISRA'EL,ASHERAT
869,EGGED,6,10:55,ALMA,KEFAR-HANO'AR-HADATI
397,TNUFA,3,22:35,NIR-BANIM,LOTAN
644,AFIKIM,5,04:20,NIR-EZYON,RAMOT
431,EGGED,9,19:35,BET-DAGAN,NOFIM
894,SUPERBUS,8,13:45,SHOHAM,KEFAR-ZETIM
366,KAVIM,2,02:50,GIV'AT-HAYYIM(ME'UHA,KEREM-BEN-ZIMRA
751,DAN,5,13:20,DEGANYA-ALEF,KAFAR-MANDA
360,METROPOLIN,1,02:00,BINYAMINA,BENE-DEROR
538,METROPOLIN,4,12:40,QIRYAT-BIALIK,NIZZANE-SINAY
690,DAN,8,11:55,PORIYYA-ILLIT,NEWE-ETAN
539,EGGED,3,16:35,RAMOT-MENASHE,GA'TON
830,AFIKIM,2,05:45,NAZARETH,QALANSAWE
1,TNUFA,7,05:50,MARGALIYYOT,MA'BAROT
966,TNUFA,6,11:40,BEZET,HAZOR-HAGELILIT
401,METROPOLIN,4,04:20,YITAV,YARHIV
177,DAN,3,13:55,QESHET,MIVTAHIM
2,DAN,3,17:10,GAN-HASHOMERON,HAZOR-HAGELILIT
860,EGGED,1,14:45,ATLIT,HAZROT-YASAF
893,METROPOLIN,3,04:40,SHAVE-DAROM,YEHUD-MONOSON
594,DAN,1,04:55,MEKHORA,HEREV-LE'ET
778,METROPOLIN,6,03:05,ZURI'EL,OMEN
346,TNUFA,4,12:05,HAD-NES,BET-SHE'AN
808,SUPERBUS,1,12:35,ASHDOD,SHADMOT-MEHOLA
230,EGGED,4,00:25,GEVA-BINYAMIN,KEFAR-AZZA
391,SUPERBUS,5,19:25,OHAD,NOFEKH
14,EGGED,2,00:55,MANSHIYYET-ZABDA,YUVALIM
912,SUPERBUS,3,16:30,QABBO'A,EFRAT
397,METROPOLIN,6,02:05,MODI'IN-ILLIT,QELAHIM
936,TNUFA,9,10:00,BAHAN,QAZIR
821,METROPOLIN,4,08:10,ATRASH,MISHMAR-HASHIV'A
401,SUPERBUS,7,23:05,QIDMAT-ZEVI,KEFAR-HAORANIM
851,TNUFA,5,02:15,DABBURYE,RAHAT
510,KAVIM,3,12:05,HOLON,BET-UZZI'EL
406,AFIKIM,4,04:35,DOLEV,PERAZON
494,AFIKIM,3,07:35,ESHTA'OL,QESHET
971,EGGED,1,16:00,YAD-HASHEMONA,BE'ER-YA'AQOV
